hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
H3,NA,H,NA,3,NA,135,NA,NA,152,NA,NA,17,NA,0,0,0,0,0,0,100,100,100,100,100,100,95,97.5,100,90,92.5,95,NA,6.9,NA,NA,0.4,NA,NA,0.6,NA,NA,0.9,NA,NA,2.2,NA,NA,2.8,NA,NA,62.6,NA,NA,NA,NA,NA,NA,NA,25,30.5,36,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.4,1.43,1.45,NA,NA,NA,NA,1.63,NA,NA,1,3,10,0.18,0.19,0.2,NA,NA,NA,29.3,31.6,33.6,14.3,17.8,21.2,43,44,45,3,4.5,5.9,40,45,50,20,25,30,18,24,31,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0,25,27.5,30,NA,NA,NA,NA,NA,NA,6.6,7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,3.9,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428392,59965250
H1,NA,H,NA,1,NA,0,NA,NA,56,NA,NA,56,NA,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,90,92.5,95,NA,7.1,NA,NA,0.4,NA,NA,0.6,NA,NA,1,NA,NA,2.2,NA,NA,2.9,NA,NA,64.9,NA,NA,NA,NA,NA,NA,NA,27,28,29,NA,NA,NA,4,5,6,NA,NA,NA,1.3,1.33,1.35,NA,NA,NA,NA,1.52,NA,NA,1,3,10,0.21,0.22,0.23,NA,NA,NA,32.4,33.4,34.3,19.1,20.8,22.5,43,44,45,3,4.5,5.9,35,40,45,10,15,20,9,15,21,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,30,33,36,NA,NA,NA,NA,NA,NA,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,7.5,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428392,59965251
H1,NA,H,NA,1,NA,0,NA,NA,43,NA,NA,43,NA,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,95,97.5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,31.5,36,NA,NA,NA,5,6,7,NA,NA,NA,1.25,1.28,1.3,NA,NA,NA,NA,NA,NA,NA,1,3,10,0.21,0.22,0.23,NA,NA,NA,32.7,34.5,36.2,19.5,22.8,26.1,45,46,47,3,4.5,5.9,45,52.5,60,25,32.5,40,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,36,38.5,41,NA,NA,NA,NA,NA,NA,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,8.5,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428393,59965252
H2,NA,H,NA,2,NA,43,NA,NA,117,NA,NA,74,NA,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,95,97.5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,38.5,42,NA,NA,NA,1,1.5,2,NA,NA,NA,1.3,1.35,1.4,NA,NA,NA,NA,NA,NA,NA,1,3,4,0.15,0.16,0.17,NA,NA,NA,29.5,30.9,32.2,20.1,22.5,24.9,44,46,47,6,7.5,8.9,50,57.5,65,20,27.5,35,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,36,38.5,41,NA,NA,NA,NA,NA,NA,5.6,6.1,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,8.1,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428393,59965253
H3,NA,H,NA,3,NA,117,NA,NA,152,NA,NA,35,NA,0,0,0,0,0,0,100,100,100,100,100,100,95,97.5,100,95,97.5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,35,38,NA,NA,NA,0.5,0.75,1,NA,NA,NA,1.4,1.43,1.45,NA,NA,NA,NA,NA,NA,NA,1,3,4,0.18,0.19,0.2,NA,NA,NA,32.3,33.5,34.6,18.9,20.9,22.9,42,43,44,6,7.5,8.9,40,50,60,25,32.5,40,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,30,33,36,NA,NA,NA,NA,NA,NA,5.6,6.1,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,7.2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428393,59965254
Ap,NA,,NA,NA,NA,0,NA,NA,20,NA,NA,20,NA,0,0,0,0,0,0,90,95,100,81,90,100,59,70,83,36,45,55,40,55.4,75,NA,5.9,NA,NA,13.3,NA,NA,12.9,NA,NA,14.3,NA,NA,9,NA,20,31.6,50,NA,NA,NA,NA,NA,NA,8,13,18,NA,NA,NA,2,2.5,3,NA,NA,NA,1.35,1.53,1.7,NA,NA,NA,1.35,1.53,1.7,NA,10,28,100,0.12,0.14,0.15,NA,NA,NA,12.7,20,24.1,7.1,11.2,15.8,29,37,46,0,0,0.4,23,28,34,4,8,11,0,2,5,0.24,0.24,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,12,16,NA,NA,NA,NA,NA,NA,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428394,59965255
A,NA,,NA,NA,NA,20,NA,NA,36,NA,NA,16,NA,0,0,0,0,0,0,90,95,100,81,90,100,59,70,83,36,45,55,40,55.4,75,NA,5.9,NA,NA,13.3,NA,NA,12.9,NA,NA,14.3,NA,NA,9,NA,20,31.6,50,NA,NA,NA,NA,NA,NA,8,13,18,NA,NA,NA,2,2.5,3,NA,NA,NA,1.35,1.53,1.7,NA,NA,NA,1.35,1.53,1.7,NA,10,28,100,0.12,0.14,0.15,NA,NA,NA,12.7,20,24.1,7.1,11.2,15.8,29,37,46,0,0,0.4,23,28,34,4,8,11,0,2,5,0.28,0.28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,12,16,NA,NA,NA,NA,NA,NA,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428394,59965256
"Bw1, Bw2",NA,,NA,NA,NA,36,NA,NA,97,NA,NA,61,NA,0,0,0,0,0,0,91,95,100,81,90,100,60,70,80,30,36,43,40,65.9,85,NA,4.3,NA,NA,14.1,NA,NA,17.5,NA,NA,19.6,NA,NA,10.4,NA,10,19.1,50,NA,NA,NA,NA,NA,NA,12,15,18,NA,NA,NA,0.2,0.6,1,NA,NA,NA,1.45,1.58,1.7,NA,NA,NA,1.45,1.58,1.7,NA,10,28,100,0.12,0.15,0.17,NA,NA,NA,13.6,19.1,22.4,7.2,10.2,13.4,30,36,43,0,0,0.4,22,26,29,7,9,12,0,0,3,0.2,0.2,0,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13,15,NA,NA,NA,NA,NA,NA,5.1,6.5,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428394,59965257
C,NA,,NA,NA,NA,97,NA,NA,152,NA,NA,55,NA,0,0,0,0,0,0,91,95,100,82,90,100,62,73,84,9,13,19,40,90,100,NA,0.5,NA,NA,10.8,NA,NA,33.2,NA,NA,37.5,NA,NA,8,NA,0,4,20,NA,NA,NA,NA,NA,NA,2,6,10,NA,NA,NA,0.1,0.3,0.5,NA,NA,NA,1.5,1.6,1.7,NA,NA,NA,1.5,1.6,1.7,NA,100,200,705,0.05,0.08,0.1,4.5,14.3,17.4,3.4,10.8,14.4,1.4,4.4,7.8,30,35,41,0,0,0,0,17,21,0,3,6,0,0,0,0.1,0.1,0,10,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,9,NA,NA,NA,NA,NA,NA,4.5,6.5,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428394,59965258
Ap,NA,A,NA,NA,NA,0,NA,NA,20,NA,NA,20,NA,0,0,0,0,0,0,100,100,100,88,93,100,75,82,92,54,60,68,25,42,50,NA,3.9,NA,NA,5.5,NA,NA,7.4,NA,NA,13.1,NA,NA,12.1,NA,26,37,57,NA,NA,NA,NA,NA,NA,18,21,24,NA,NA,NA,3,3.5,4,NA,NA,NA,1.4,1.43,1.45,NA,NA,NA,1.46,1.49,1.54,NA,1,9,10,0.2,0.21,0.22,NA,NA,NA,24.7,29.6,32.3,13.3,15.9,18.9,39,40,43,0.4,1.3,2.3,34,38,42,11,14,16,3,6,10,0.24,0.24,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,18.2,20.6,NA,NA,NA,NA,NA,NA,5.6,6.1,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,59966070
A,NA,A,NA,NA,NA,20,NA,NA,46,NA,NA,26,NA,0,0,0,0,0,0,100,100,100,88,93,100,75,82,92,54,60,68,25,42,50,NA,3.9,NA,NA,5.5,NA,NA,7.4,NA,NA,13.1,NA,NA,12.1,NA,26,37,57,NA,NA,NA,NA,NA,NA,18,21,24,NA,NA,NA,2,2.5,3,NA,NA,NA,1.4,1.43,1.45,NA,NA,NA,1.46,1.49,1.54,NA,1,9,10,0.2,0.21,0.22,NA,NA,NA,23.6,28.8,31.5,12.1,14.7,17.6,39,41,44,0.4,1.3,2.3,32,36,40,12,14,16,3,6,9,0.32,0.32,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,18,20.4,NA,NA,NA,NA,NA,NA,5.6,6.1,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,59966071
"Bw1, Bw2",NA,B,NA,NA,NA,46,NA,NA,84,NA,NA,38,NA,0,0,0,0,1,3,84,90,95,68,80,90,58,71,84,43,53,64,30,40,60,NA,3.8,NA,NA,5.2,NA,NA,7,NA,NA,12.5,NA,NA,11.5,NA,13,38,52,NA,NA,NA,NA,NA,NA,18,22,27,NA,NA,NA,0.5,1.25,2,NA,NA,NA,1.4,1.45,1.5,NA,NA,NA,1.48,1.53,1.62,NA,1,9,10,0.15,0.17,0.19,NA,NA,NA,17.6,25.6,30.1,8.7,12.6,17.2,32,37,42,0.4,1.6,3.2,28,34,41,12,15,19,1,4,10,0.32,0.32,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,18.2,22.3,NA,NA,NA,NA,NA,NA,5.1,5.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,59966072
2C1,2,C,NA,1,NA,84,NA,NA,122,NA,NA,38,NA,0,3,4,0,4,10,65,94,100,29,85,100,22,66,81,6,22,28,75,84,87,NA,3.4,NA,NA,13.3,NA,NA,22,NA,NA,29,NA,NA,16.3,NA,5,11,23,NA,NA,NA,NA,NA,NA,2,5,8,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.5,1.63,1.75,NA,NA,NA,1.5,1.63,1.75,NA,10,92,100,0.02,0.04,0.06,2.4,16.2,21.6,1.7,11.2,16.3,0.5,3.5,6.7,11,31,41,0,0,0,0,16,20,0,2,4,0,0,0,0.2,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,4.5,7.1,NA,NA,NA,NA,NA,NA,5.6,6.1,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,59966073
2C2,2,C,NA,2,NA,122,NA,NA,203,NA,NA,81,NA,0,3,4,0,4,10,65,94,100,29,85,100,22,66,80,2,8,13,75,94,98,NA,0.7,NA,NA,12.9,NA,NA,36.4,NA,NA,37.1,NA,NA,6.9,NA,0,1,23,NA,NA,NA,NA,NA,NA,2,5,8,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.5,1.63,1.75,NA,NA,NA,1.5,1.63,1.75,NA,100,200,705,0.02,0.04,0.06,1.8,12.5,16.6,1.4,9.2,13.3,0.5,3.4,6.5,11,31,41,0,0,0,0,16,20,0,2,4,0,0,0,0.05,0.05,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,4.5,7.1,NA,NA,NA,NA,NA,NA,5.6,6.1,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428581,59966074
2C,2,C,NA,NA,50,97,100,125,200,200,75,103,150,0,0,0,0,1,6,87,94,100,40,72,100,24,48,73,3,8,22,75,90,99,0,4,9,15,20,20,30,39,40,15,25,25,0,2,5,0,5,25,0,2,10,0,3,15,0,5,10,0,0,0,0,0.25,0.5,NA,NA,NA,1.58,1.6,1.63,NA,NA,NA,1.58,1.62,1.66,2.64,100,200,705,0.02,0.04,0.06,2.5,11.7,17.4,0.9,8.5,14.4,0,3.1,7.8,18,30,39,0,0.3,2.9,0,17,22,0,2,6,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0.1,2,0.1,4.5,8.6,NA,NA,NA,0.1,3.7,8.6,5.1,6.1,7.3,5.1,6.6,7.3,NA,NA,NA,NA,NA,NA,0,3.8,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,59966075
Bg,NA,B,NA,NA,45,48,50,50,97,100,5,49,50,0,0,0,0,0,0,95,100,100,76,91,100,63,83,99,42,59,74,25,40,60,0,2,3,0,5,7,8,10,20,9,15,20,8,8,10,10,36,55,4,15,25,6,21,30,20,24,30,0,0,0,0.5,1.25,2,NA,NA,NA,1.38,1.5,1.63,NA,NA,NA,1.53,1.65,1.71,2.6,1,9,10,0.16,0.17,0.18,NA,NA,NA,23.8,28.9,33.3,10.8,15.2,20.6,30,38,45,3,3,5.9,31,37,44,13,16,21,2,7,14,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.1,2,16.2,19.7,24.6,NA,NA,NA,13.1,17.2,23.8,5.1,5.5,6.5,5.1,6,6.5,NA,NA,NA,NA,NA,NA,4.1,7.5,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,59966076
Ap,NA,A,NA,NA,0,0,0,18,23,30,18,23,30,0,0,0,0,0,0,100,100,100,82,96,100,71,93,100,51,72,87,10,30,50,0,0,1,0,2,5,2,5,12,5,15,20,3,8,12,20,48,72,9,20,34,11,28,38,18,22,30,0,0,0,4,4.5,5,NA,NA,NA,1.31,1.38,1.45,NA,NA,NA,1.43,1.5,1.57,2.55,1,9,10,0.2,0.21,0.22,NA,NA,NA,26.7,30.9,34.4,13.5,17.4,22.6,37,43,46,0,2.8,2.9,37,42,50,12,15,21,5,10,19,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.1,2,15.9,19.2,25.5,NA,NA,NA,12.8,17.3,25.3,5.6,6.2,7.3,5.6,5.7,7.3,NA,NA,NA,NA,NA,NA,3.1,6.7,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,59966077
A1,NA,A,NA,1,18,23,30,30,41,45,12,18,20,0,0,0,0,0,0,100,100,100,82,96,100,71,93,100,51,72,87,10,30,50,0,0,1,0,2,5,2,5,12,5,15,20,3,8,12,20,48,72,9,20,34,11,28,38,18,22,30,0,0,0,2.5,3.5,4,NA,NA,NA,1.21,1.31,1.41,NA,NA,NA,1.33,1.43,1.49,2.57,1,9,10,0.2,0.21,0.22,NA,NA,NA,25.1,29.6,33.1,11.3,15.4,20.3,39,46,50,0,2.8,2.9,33,40,48,12,15,21,4,10,19,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.1,2,15.6,19,25.2,NA,NA,NA,12.4,16.9,29,5.6,6.1,7.3,5.6,5.6,7.3,NA,NA,NA,NA,NA,NA,2.5,6.6,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,59966078
A2,NA,A,NA,2,30,41,45,45,48,50,5,7,10,0,0,0,0,0,0,100,100,100,83,96,100,71,92,100,49,68,84,10,35,50,0,0,1,0,3,5,2,7,12,5,15,20,3,10,12,20,43,72,9,18,34,11,25,38,18,22,30,0,0,0,1.5,2.25,3,NA,NA,NA,1.36,1.39,1.42,NA,NA,NA,1.48,1.51,1.59,2.58,1,9,10,0.2,0.21,0.22,NA,NA,NA,24.8,29.2,33.1,10.8,14.8,20.3,39,43,45,0,2.8,2.9,31,37,46,12,15,21,3,8,17,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.1,2,15.3,18.7,25,NA,NA,NA,12,16.5,26.4,5.6,6.1,7.3,5.6,5.6,7.3,NA,NA,NA,NA,NA,NA,2.2,6.1,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428582,59966079
2Cg,2,C,NA,NA,NA,114,NA,NA,152,NA,NA,38,NA,0,0,0,0,3,4,73,92,92,50,85,92,38,66,75,12,22,27,80,83.1,100,NA,3.4,NA,NA,13.2,NA,NA,21.8,NA,NA,28.6,NA,NA,16.1,NA,0,11.9,20,NA,NA,NA,NA,NA,NA,2,5,8,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.6,1.65,1.7,NA,NA,NA,1.6,1.65,1.7,NA,10,92,100,0.02,0.03,0.04,4.1,16.7,20.6,2.8,11.6,15.6,0.9,3.6,6.4,20,32,36,0,0,0,0,16,20,0,2,4,0,0,0,0.2,0.2,0,15,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,4.5,7.1,NA,NA,NA,NA,NA,NA,6.1,7.3,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428583,59966080
Ap,NA,A,NA,NA,NA,0,NA,NA,20,NA,NA,20,NA,0,0,0,0,0,0,95,96,100,89,93,100,79,85,94,62,67,75,15,33.6,45,NA,3,NA,NA,4.2,NA,NA,5.8,NA,NA,10.5,NA,NA,10.1,NA,20,36.9,58,NA,NA,NA,NA,NA,NA,27,29.5,32,NA,NA,NA,7,8,9,NA,NA,NA,1.35,1.38,1.4,NA,NA,NA,1.54,1.57,1.6,NA,1,3,10,0.2,0.22,0.23,NA,NA,NA,31,35.1,37.7,22.7,25.8,29.3,39,40,43,3.2,4.2,4.8,51,56,61,18,20,22,10,14,19,0.24,0.24,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,25.5,27.6,NA,NA,NA,NA,NA,NA,6.1,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7.2,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428583,59966081
A,NA,A,NA,NA,NA,20,NA,NA,74,NA,NA,54,NA,0,0,0,0,0,0,95,96,100,89,93,100,79,85,94,62,67,75,15,33.6,45,NA,3,NA,NA,4.2,NA,NA,5.8,NA,NA,10.5,NA,NA,10.1,NA,20,36.9,58,NA,NA,NA,NA,NA,NA,27,29.5,32,NA,NA,NA,7,8,9,NA,NA,NA,1.35,1.38,1.4,NA,NA,NA,1.54,1.57,1.6,NA,1,3,10,0.2,0.22,0.23,NA,NA,NA,31,35.1,37.7,22.7,25.8,29.3,39,40,43,3.2,4.2,4.8,51,56,61,18,20,22,10,14,19,0.28,0.28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,25.5,27.6,NA,NA,NA,NA,NA,NA,6.1,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7.2,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428583,59966082
Bg1,NA,B,NA,1,NA,74,NA,NA,94,NA,NA,20,NA,0,0,0,0,0,0,95,97,100,90,93,100,78,84,93,59,64,71,15,38,45,NA,3.4,NA,NA,4.8,NA,NA,6.6,NA,NA,11.9,NA,NA,11.3,NA,20,33,58,NA,NA,NA,NA,NA,NA,26,29,32,NA,NA,NA,1,2,3,NA,NA,NA,1.4,1.5,1.6,NA,NA,NA,1.59,1.69,1.74,NA,1,3,10,0.17,0.19,0.2,NA,NA,NA,26.7,32.1,35.1,16.7,20.1,24.1,34,39,44,2.9,3.9,4.8,38,43,48,18,20,22,8,11,15,0.28,0.28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,23.8,26.5,NA,NA,NA,NA,NA,NA,6.1,6.7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,4.9,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428583,59966083
Bg2,NA,B,NA,2,NA,94,NA,NA,114,NA,NA,20,NA,0,0,0,0,0,0,96,97,100,79,88,100,67,75,88,44,51,60,35,50,75,NA,5,NA,NA,6.8,NA,NA,8.9,NA,NA,15.3,NA,NA,14,NA,20,40,50,NA,NA,NA,NA,NA,NA,8,10,12,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.6,1.65,1.7,NA,NA,NA,1.6,1.65,1.7,NA,1,9,10,0.12,0.13,0.14,NA,NA,NA,14.7,20.9,24.6,4.5,6.4,8.7,29,33,38,0,0,0,18,21,23,4,6,7,0,0,1,0.43,0.43,0,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,8.4,10.2,NA,NA,NA,NA,NA,NA,6.1,7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.8,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428583,59966084
AB,NA,AB,NA,NA,24,36,55,24,46,71,0,10,16,0,0,0,0,0,0,100,100,100,83,96,100,73,93,100,60,82,93,15,18,40,1,1,4,1,2,7,2,2.9,8,6,6.6,12,5,5.5,9,25,54,67,10,22,25,15,32,35,18,28,35,0,0,0,1,2,3,NA,NA,NA,1.4,1.47,1.55,NA,NA,NA,1.58,1.65,1.73,NA,1,3,10,0.17,0.19,0.22,NA,NA,NA,24.7,31.6,35.3,10.7,18.6,24.4,34,40,43,3,3.8,5.9,30,42,51,12,19,25,10,16,24,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.1,2,15.1,23.1,28.7,NA,NA,NA,11.5,22.6,28.5,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,2,5.4,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428584,59966085
Bg1,NA,B,NA,1,24,46,71,34,58,97,10,12,26,0,0,0,0,0,0,100,100,100,83,96,100,73,93,100,60,82,93,15,18,40,1,1,4,1,2,7,2,2.9,8,6,6.6,12,5,5.5,9,25,54,67,10,22,25,15,32,35,18,28,35,0,0,0,0.5,0.75,1,NA,NA,NA,1.4,1.47,1.55,NA,NA,NA,1.57,1.64,1.72,NA,1,3,10,0.17,0.19,0.22,NA,NA,NA,24.1,30.7,34,10.1,17,21.8,35,41,44,3,3.7,5.9,29,39,47,12,19,25,10,15,23,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.1,2,14.7,22.2,27.5,NA,NA,NA,12.5,20.6,27,5.6,6.5,7.3,5.6,6,7.3,NA,NA,NA,NA,NA,NA,1.7,4.9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20428584,59966086
