soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
30,30,61,200,200,200,Wet,213935863,134417700
0,0,0,30,30,61,Moist,213935863,134417701
0,0,0,61,61,91,Moist,213935864,134417702
61,61,91,200,200,200,Wet,213935864,134417703
76,76,107,200,200,200,Wet,213935865,134417704
0,0,0,76,76,107,Moist,213935865,134417705
0,0,0,91,91,122,Moist,213935866,134417706
91,91,122,200,200,200,Wet,213935866,134417707
76,76,107,200,200,200,Wet,213935867,134417708
0,0,0,76,76,107,Moist,213935867,134417709
0,0,0,46,46,91,Moist,213935868,134417710
46,46,91,200,200,200,Wet,213935868,134417711
0,0,0,200,200,200,Wet,213935869,134417712
0,0,0,15,15,61,Moist,213935869,134417713
0,0,0,200,200,200,Wet,213935870,134417714
0,0,0,61,61,107,Moist,213935870,134417715
0,0,0,0,0,30,Moist,213935871,134417716
0,0,0,200,200,200,Wet,213935871,134417717
0,0,0,200,200,200,Wet,213935872,134417718
0,0,0,61,61,107,Moist,213935872,134417719
0,0,0,200,200,200,Wet,213935873,134417720
0,0,0,91,91,122,Moist,213935873,134417721
0,0,0,200,200,200,Wet,213935874,134417722
0,0,0,61,61,107,Moist,213935874,134417723
0,0,0,15,15,61,Moist,213935875,134417724
0,0,0,200,200,200,Wet,213935875,134417725
0,0,0,46,46,91,Moist,213935876,134417726
0,0,0,200,200,200,Wet,213935876,134417727
0,0,0,200,200,200,Wet,213935877,134417728
0,0,0,76,76,107,Moist,213935877,134417729
0,0,0,76,76,107,Moist,213935878,134417730
0,0,0,200,200,200,Wet,213935878,134417731
0,0,0,30,30,61,Moist,213935879,134417732
0,0,0,200,200,200,Wet,213935879,134417733
0,0,0,46,46,91,Moist,213935880,134417734
0,0,0,200,200,200,Wet,213935880,134417735
